Designator,DesignItemId,Quantity,Footprint,Manufacturer,Manufacturer Part Number,Supplier 1,Supplier Part Number 1
"P16, P17","62100421021","2","62100421021","","","",""
"P33","62130621021","1","62130621021","","","",""
"PBA","61201020621","1","61201020621","","","",""
"R1, R3, R4, R6","R_243_603_1%","4","RES_0603","Panasonic","ERJ3EKF2430V","Digi-Key","P243HCT-ND"
"R2, R5, R7, R8","R_4.99K_603_1%","4","RES_0603","Panasonic","ERJ3EKF4991V","Digi-Key","P4.99KHCT-ND"
"R11, R12, R13, R14, R15, R16, R25, R26, R40, R41, R42, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72","R_28.0_603_1%","40","RES_0603","Panasonic","ERJ3EKF28R0V","Digi-Key","P28.0HCT-ND"
"R21, R22, R23, R24","R_3.00K_603_1%","4","RES_0603","Panasonic","ERJ3EKF3001V","Digi-Key","P3.00KHCT-ND"
"R27, R28, R29, R30","R_100K_603_1%","4","RES_0603","Panasonic","ERJ3EKF1003V","Digi-Key","P100KHTR-ND"
"R31","R_10.0K_603_1%","1","RES_0603","Panasonic","ERJ3EKF1002V","Digi-Key","P10.0KHCT-ND"
"R33, R34, R35, R36","R_39.2_603_1%","4","RES_0603","Panasonic","ERJ-3EKF39R2V","Digi-Key","P39.2HCT-ND"
"R37, R38, R301, R302","R_2.00K_603_1%","4","RES_0603","Panasonic","ERJ3EKF2001V","Digi-Key","P2.00KHCT-ND"
"R39, R43","R_49.9_1206_1%","2","RES_1206","Panasonic","ERJ8ENF49R9V","Digi-Key","P49.9FCT-ND"
"R73, R74, R75, R76, R77, R78, R79, R80","R_49.9_603_1%","8","RES_0603","Panasonic","ERJ3EKF49R9V","Digi-Key","P49.9HCT-ND"
"TP1, TP2, TP3, TP4, TP5","Test Point SM","5","Test Point SM","Keystone Electronics","5019","Digi-Key","5019KCT-ND"
"U1, U2, U7, U17","SN74LVC2T45QDCURQ1","4","TI-DGK8_N","Texas Instruments","SN74LVC2T45MDCTTEP","Digi-Key","296-23952-1-ND"
"U3","DS24B33S+T&R","1","W8+2_M","Maxim","DS24B33S+T&R","Digi-Key","DS24B33S+T&RCT-ND"
"U4","S25FS512SAGMFV010","1","MICT-SF-16_N","Cypress","S25FS512SAGMFV010","Digi-Key","S25FS512SAGMFV010-ND"
"U5","STM32H743ZIT6","1","STM-LQFP144_N","STMicroelectronics","STM32H743ZIT6","Digi-Key","497-17721-ND"
"U6, U9, U13, U15, U16","DS90LV012ATMF","5","MF05A_N","TI National Semiconductor","DS90LV012ATMF/NOPB","Digi-Key","DS90LV012ATMF/NOPBCT-ND"
"U8","NUP4301MR6T1G","1","ONSC-SC-74-6-318F-05_V","ON Semiconductor","NUP4301MR6T1G","Digi-Key","NUP4301MR6T1GOSCT-ND"
"U10","LPS22HDTR","1","HLGA-10L","STMicroelectronics","LPS22HDTR","Digi-Key","497-17587-1-ND"
"U11","LIS3MDLTR","1","VFLGA-12","STMicroelectronics","LIS3MDLTR","Digi-Key","497-13892-1-ND"
"U12","ADXL355BEZ-RL7","1","E-14-1","Analog Devices","ADXL355BEZ-RL7","Digi-Key","ADXL355BEZ-RL7CT-ND"
"U14","DS90LV011ATMF","1","MF05A_N","Texas Instruments","DS90LV011ATMF/NOPB","Digi-Key","DS90LV011ATMF/NOPBCT-ND"
