Altium Designer Pick and Place Locations
Y:\My Hardware\Altium\IceCube\Mini-Mainboard\MMB_Controller (2-27-2020 2-48-15 PM)\Design Projects\Mini MB\Fabrication\MMB_Controller\Pick Place\Pick Place for MMB_Controller_Board.csv

========================================================================================================================
File Design Information:

Date:       09.06.20
Time:       18:07
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C54","10uF_805_10V","BottomLayer","CAPC_0805","2059.055","736.221","360","Capacitor"
"C53","2.2uF_805_16V","TopLayer","CAPC_0805","2397.638","1480.315","180","CAP CER 2.2UF 16V X7R 0805"
"C52","2.2uF_805_16V","BottomLayer","CAPC_0805","2059.055","661.417","360","CAP CER 2.2UF 16V X7R 0805"
"C51","10uF_805_10V","BottomLayer","CAPC_0805","1531.496","736.221","90","Capacitor"
"C49","0.1uF_603_50V","BottomLayer","CAPC_0603","1531.496","889.764","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C48","10nF","TopLayer","CAPC1608X90X35LL10T15","793.307","500.000","90","Chip Capacitor, 10000 pF, +/- 10%, 16 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C44","10nF","TopLayer","CAPC1608X90X35LL10T15","968.504","226.378","90","Chip Capacitor, 10000 pF, +/- 10%, 16 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel"
"C42","10uF_1206_16V","BottomLayer","CAPC_1206","1325.000","1275.000","270","Capacitor"
"C41","0.1uF_603_50V","BottomLayer","CAPC_0603","1031.496","1177.165","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C13","0.1uF_603_50V","TopLayer","CAPC_0603","51.181","645.669","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C11","10uF_805_10V","TopLayer","CAPC_0805","59.055","531.496","90","Capacitor"
"C10","0.1uF_603_50V","TopLayer","CAPC_0603","364.173","588.583","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C9","0.1uF_603_50V","TopLayer","CAPC_0603","364.173","718.504","270","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C8","10uF_805_10V","TopLayer","CAPC_0805","433.071","718.504","270","Capacitor"
"C7","0.1uF_603_50V","BottomLayer","CAPC_0603","51.181","1041.339","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C6","0.1uF_603_50V","TopLayer","CAPC_0603","51.181","1041.339","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C5","10uF_805_10V","TopLayer","CAPC_0805","61.024","1155.512","270","Capacitor"
"C4","0.1uF_603_50V","BottomLayer","CAPC_0603","2830.709","234.252","360","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C3","0.1uF_603_50V","BottomLayer","CAPC_0603","2704.724","234.252","180","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C2","0.1uF_603_50V","BottomLayer","CAPC_0603","2047.244","74.803","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C1","0.1uF_603_50V","BottomLayer","CAPC_0603","2210.630","78.740","90","0.1µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
